,Gender,Age,Under_30,Senior_Citizen,Married,Dependents,Number_of_Dependents,Latitude,Longitude,Satisfaction Score,Quarter,Referred a Friend,Number of Referrals,Tenure in Months,Offer,Phone Service,Multiple Lines,Internet Service,Internet Type,Avg Monthly GB Download,Online Security,Online Backup,Device Protection Plan,Premium Tech Support,Streaming TV,Streaming Movies,Streaming Music,Unlimited Data,Contract,Paperless Billing,Payment Method,Total Extra Data Charges,Total Revenue,Churn Category
0,1.0,37.0,0.0,1.0,0.0,0.0,0.0,34.903052,-118.411251,1.0,3.0,0.0,0.0,35.0,0.0,1.0,0.0,1.0,2.0,16.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,3923.45,1.0
1,0.0,54.0,0.0,0.0,0.0,0.0,0.0,34.903052,-118.411251,1.0,3.0,0.0,0.0,1.0,5.0,1.0,1.0,1.0,3.0,29.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,35.9,1.0
2,1.0,46.0,1.0,1.0,0.0,1.0,0.0,33.721917,-118.043237,3.0,3.0,1.0,4.0,35.0,3.0,1.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2182.45,0.0
3,1.0,23.0,1.0,1.0,0.0,0.0,0.0,36.19204239161876,-122.000887,3.0,3.0,0.0,0.0,7.0,5.0,1.0,0.0,1.0,2.0,71.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,10.0,705.6099999999999,1.0
4,0.0,41.0,0.0,0.0,1.0,0.0,0.0,39.672813,-120.456699,3.0,3.0,1.0,8.0,68.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,10.0,3075.66,0.0
5,1.0,22.0,1.0,1.0,0.0,0.0,0.0,39.672813,-120.456699,3.0,3.0,0.0,0.0,2.0,5.0,1.0,0.0,1.0,3.0,27.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,262.36,1.0
6,1.0,22.0,1.0,1.0,0.0,0.0,0.0,34.018354,-117.85492,3.0,3.0,0.0,0.0,1.0,5.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.13,1.0
7,0.0,37.0,0.0,0.0,1.0,0.0,0.0,34.018354,-117.85492,3.0,3.0,1.0,2.0,9.0,0.0,1.0,0.0,1.0,3.0,20.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,974.81,1.0
8,1.0,33.0,0.0,1.0,0.0,0.0,0.0,33.958149,-118.308441,3.0,3.0,0.0,0.0,36.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,995.0,0.0
9,0.0,32.0,0.0,0.0,0.0,1.0,0.0,33.958149,-118.308441,3.0,3.0,0.0,0.0,36.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,995.0,0.0
10,0.0,32.0,0.0,0.0,0.0,1.0,0.0,36.19204239161876,-118.421314,3.0,3.0,1.0,10.0,16.0,0.0,1.0,0.0,1.0,3.0,30.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,1436.77,0.0
11,0.0,21.0,1.0,0.0,1.0,1.0,2.0,37.424342,-122.165641,3.0,3.0,1.0,1.0,44.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,963.73,0.0
12,0.0,46.0,1.0,0.0,1.0,0.0,2.0,37.573633,-122.455167,3.0,3.0,1.0,3.0,32.0,0.0,1.0,1.0,1.0,1.0,17.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1177.83,0.0
13,0.0,49.0,0.0,0.0,1.0,0.0,0.0,37.540582,-119.7549407277953,5.0,3.0,1.0,3.0,32.0,0.0,1.0,1.0,1.0,1.0,17.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1177.83,0.0
14,1.0,40.0,0.0,1.0,1.0,0.0,0.0,38.636102,-120.522149,3.0,3.0,1.0,10.0,72.0,1.0,1.0,1.0,1.0,3.0,20.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,9302.83,0.0
15,0.0,46.0,0.0,0.0,0.0,1.0,3.0,34.044271,-119.7549407277953,1.0,3.0,1.0,10.0,72.0,1.0,1.0,1.0,1.0,3.0,20.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,9302.83,2.0
16,0.0,47.0,0.0,0.0,1.0,1.0,3.0,34.613476,-118.256358,4.0,3.0,1.0,10.0,72.0,1.0,1.0,1.0,1.0,3.0,20.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,9302.83,0.0
17,1.0,50.0,0.0,1.0,1.0,1.0,3.0,37.505768,-121.962472,4.0,3.0,1.0,5.0,35.0,3.0,1.0,0.0,1.0,2.0,57.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,3219.15,0.0
18,0.0,46.0,0.0,0.0,0.0,0.0,0.0,37.980057,-119.7549407277953,4.0,3.0,0.0,0.0,3.0,0.0,1.0,1.0,1.0,2.0,24.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,287.26,0.0
19,0.0,46.0,0.0,0.0,0.0,0.0,0.0,40.936285,-121.572692,4.0,3.0,0.0,0.0,3.0,0.0,1.0,1.0,1.0,2.0,24.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,287.26,0.0
20,0.0,64.0,0.0,0.0,1.0,0.0,0.0,33.507255,-119.7549407277953,2.0,3.0,1.0,0.0,40.0,2.0,1.0,1.0,1.0,2.0,19.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,3384.25,1.0
21,1.0,46.0,1.0,1.0,1.0,0.0,0.0,38.803731,-121.043799,3.0,3.0,1.0,0.0,40.0,2.0,1.0,1.0,1.0,2.0,19.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,3384.25,1.0
22,0.0,39.0,0.0,0.0,1.0,0.0,0.0,33.723579,-118.005441,3.0,3.0,1.0,0.0,40.0,2.0,1.0,1.0,1.0,2.0,19.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,3384.25,2.0
23,1.0,52.0,0.0,1.0,1.0,0.0,0.0,34.165383,-118.123752,5.0,3.0,1.0,1.0,65.0,2.0,1.0,1.0,1.0,2.0,20.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,7330.6,2.0
24,1.0,80.0,0.0,1.0,1.0,0.0,0.0,36.125529,-120.864443,3.0,3.0,1.0,1.0,65.0,2.0,1.0,1.0,1.0,2.0,20.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,7330.6,1.0
25,0.0,27.0,1.0,0.0,0.0,1.0,2.0,38.349195,-121.902943,3.0,3.0,1.0,9.0,46.0,0.0,0.0,0.0,0.0,1.0,52.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1620.25,1.0
26,1.0,65.0,0.0,1.0,0.0,0.0,0.0,37.680844,-122.48131,3.0,3.0,1.0,6.0,32.0,0.0,0.0,0.0,1.0,1.0,14.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,3044.441077322455,1.0
27,1.0,65.0,0.0,1.0,0.0,0.0,0.0,38.805481,-120.13287,3.0,3.0,1.0,6.0,32.0,0.0,0.0,0.0,1.0,1.0,14.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,3044.441077322455,1.0
28,0.0,50.0,0.0,0.0,0.0,0.0,0.0,38.672638,-121.147403,5.0,3.0,0.0,0.0,28.0,3.0,1.0,0.0,1.0,2.0,12.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,2866.9700000000003,0.0
29,1.0,28.0,1.0,1.0,1.0,1.0,3.0,39.084645,-120.894014,3.0,3.0,1.0,1.0,71.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,2852.09,0.0
30,0.0,63.0,1.0,0.0,0.0,0.0,0.0,36.19204239161876,-121.201018,3.0,3.0,0.0,0.0,60.0,2.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,3869.65,0.0
31,1.0,46.0,0.0,1.0,1.0,1.0,3.0,39.003358,-121.022539,4.0,3.0,1.0,7.0,70.0,0.0,1.0,0.0,1.0,2.0,28.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,7732.0,0.0
32,1.0,47.0,0.0,1.0,0.0,0.0,0.0,39.003358,-121.022539,4.0,3.0,0.0,0.0,32.0,0.0,1.0,1.0,1.0,1.0,5.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1917.85,0.0
33,0.0,74.0,0.0,0.0,1.0,0.0,0.0,36.19204239161876,-120.02609,4.0,3.0,1.0,2.0,32.0,0.0,1.0,0.0,1.0,3.0,23.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2525.5200000000004,0.0
34,0.0,57.0,0.0,0.0,0.0,0.0,0.0,33.876482,-119.7549407277953,3.0,3.0,1.0,2.0,32.0,0.0,1.0,0.0,1.0,3.0,23.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2525.5200000000004,0.0
35,0.0,65.0,0.0,0.0,0.0,0.0,0.0,40.524535,-122.647172,3.0,3.0,0.0,0.0,46.0,0.0,1.0,1.0,1.0,1.0,26.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,3993.19,0.0
36,1.0,46.0,0.0,1.0,1.0,1.0,2.0,37.900662,-122.052782,3.0,3.0,1.0,6.0,22.0,0.0,1.0,1.0,1.0,1.0,11.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,3044.441077322455,0.0
37,1.0,73.0,0.0,1.0,1.0,0.0,0.0,33.881158,-117.854783,3.0,3.0,1.0,10.0,72.0,1.0,1.0,1.0,1.0,2.0,30.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,6831.53,0.0
38,1.0,77.0,0.0,1.0,1.0,0.0,0.0,33.653338,-117.178271,5.0,3.0,1.0,1.0,29.0,3.0,1.0,1.0,1.0,1.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,2533.85,0.0
39,1.0,77.0,0.0,1.0,1.0,0.0,0.0,37.873283,-121.292034,4.0,3.0,0.0,0.0,32.0,5.0,1.0,0.0,1.0,1.0,27.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,767.35,0.0
40,1.0,34.0,0.0,1.0,0.0,0.0,0.0,33.60693,-117.644253,3.0,3.0,0.0,0.0,1.0,3.0,1.0,0.0,1.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,3044.441077322455,1.0
41,1.0,34.0,0.0,1.0,0.0,0.0,0.0,33.867593,-118.080637,3.0,3.0,1.0,2.0,60.0,0.0,1.0,1.0,1.0,2.0,15.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,7675.22,0.0
42,1.0,34.0,0.0,1.0,0.0,0.0,0.0,33.848733,-117.788357,3.0,3.0,0.0,0.0,4.0,0.0,1.0,1.0,1.0,3.0,24.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,539.6,1.0
43,0.0,40.0,0.0,0.0,1.0,1.0,0.0,37.252057,-119.7549407277953,3.0,3.0,1.0,1.0,6.0,5.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,158.18,1.0
44,1.0,72.0,0.0,1.0,1.0,0.0,0.0,36.19204239161876,-117.134917,3.0,3.0,1.0,1.0,33.0,0.0,1.0,1.0,1.0,1.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,4022.29,5.0
45,1.0,34.0,0.0,1.0,0.0,1.0,2.0,36.19204239161876,-118.346766,3.0,3.0,0.0,0.0,9.0,5.0,1.0,0.0,1.0,3.0,29.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,732.81,0.0
46,1.0,34.0,0.0,1.0,0.0,1.0,2.0,36.19204239161876,-118.346766,4.0,3.0,0.0,0.0,71.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,0.0,2001.79,0.0
47,1.0,79.0,0.0,1.0,1.0,0.0,0.0,36.19204239161876,-118.317651,5.0,3.0,0.0,1.0,30.0,3.0,1.0,1.0,1.0,2.0,24.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,4358.25,0.0
48,1.0,54.0,0.0,1.0,0.0,0.0,0.0,39.170376,-119.7549407277953,5.0,3.0,0.0,0.0,44.0,2.0,1.0,1.0,1.0,3.0,21.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,100.0,5985.23,0.0
49,1.0,54.0,0.0,1.0,0.0,0.0,0.0,39.225634,-121.156163,3.0,3.0,0.0,0.0,44.0,2.0,1.0,1.0,1.0,3.0,21.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,100.0,5985.23,4.0
50,1.0,54.0,0.0,1.0,0.0,0.0,0.0,34.536232,-118.082935,3.0,3.0,1.0,9.0,18.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,1257.77,0.0
