,Customer ID,Gender,Age,Under 30,Senior Citizen,Married,Dependents,Number of Dependents,Latitude,Longitude,Satisfaction Score,Quarter,Referred a Friend,Number of Referrals,Tenure in Months,Offer,Phone Service,Multiple Lines,Internet Service,Internet Type,Avg Monthly GB Download,Online Security,Online Backup,Device Protection Plan,Premium Tech Support,Streaming TV,Streaming Movies,Streaming Music,Unlimited Data,Contract,Paperless Billing,Payment Method,Total Extra Data Charges,Total Revenue
0,9938-EKRGF,0.0,73.0,0.0,1.0,1.0,0.0,0.0,33.141265,-116.967221,3.0,3.0,1.0,1.0,47.0,0.0,1.0,0.0,1.0,2.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4548.91
1,7379-POKDZ,1.0,64.0,0.0,0.0,0.0,0.0,0.0,34.231318,-117.662032,4.0,3.0,0.0,0.0,50.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,3553.25
2,0654-HMSHN,,,,,,,,32.802959,-117.027095,5.0,3.0,1.0,9.0,52.0,0.0,1.0,1.0,1.0,1.0,85.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,4406.25
3,2045-BMBTJ,0.0,35.0,0.0,0.0,1.0,1.0,3.0,,,,3.0,1.0,1.0,11.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,499.41
4,0701-TJSEF,1.0,67.0,0.0,1.0,1.0,0.0,0.0,33.581045,-117.14719,,3.0,1.0,1.0,13.0,0.0,1.0,1.0,1.0,3.0,6.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,3044.441077322455
5,1226-UDFZR,0.0,30.0,0.0,0.0,0.0,0.0,0.0,35.858054,-119.305858,,,,,,,,,,,,,,,,,,,,,,,,
6,9225-BZLNZ,1.0,64.0,,,1.0,0.0,0.0,33.362575,-117.299644,3.0,3.0,1.0,6.0,72.0,0.0,1.0,1.0,1.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,9761.84
7,2754-SDJRD,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
8,2254-DLXRI,1.0,71.0,0.0,1.0,0.0,0.0,0.0,36.19204239161876,-116.593605,4.0,3.0,0.0,0.0,32.0,0.0,0.0,0.0,1.0,1.0,23.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,,2743.45
9,3629-ZNKXA,1.0,29.0,,0.0,0.0,0.0,0.0,33.929812,-116.76058,1.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,1.0,85.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,106.85
10,2636-SJDOU,,,,,,,,33.782346,-117.635263,,3.0,1.0,1.0,56.0,0.0,1.0,1.0,1.0,2.0,25.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,6841.38
11,0921-OHLVP,,57.0,,0.0,1.0,1.0,3.0,36.768774,-119.762633,5.0,3.0,1.0,8.0,68.0,0.0,1.0,1.0,1.0,1.0,29.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,5841.31
12,6689-VRRTK,0.0,49.0,0.0,,0.0,0.0,0.0,36.19204239161876,-118.067402,3.0,,,,,,,,,,,,,,,,,,,,,,,
13,2858-EIMXH,0.0,32.0,,0.0,,0.0,0.0,,,5.0,3.0,0.0,0.0,20.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,651.75
14,5175-WLYXL,0.0,,1.0,,0.0,0.0,0.0,,,3.0,3.0,0.0,0.0,66.0,2.0,1.0,0.0,1.0,1.0,20.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,,5427.87
15,0643-OKLRP,,,,,,,,35.369553,-120.763864,3.0,3.0,1.0,9.0,1.0,0.0,0.0,0.0,1.0,1.0,14.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,35.0
16,3097-PYWXL,,26.0,1.0,0.0,0.0,0.0,0.0,,,,3.0,0.0,0.0,63.0,0.0,1.0,1.0,1.0,1.0,85.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,7942.15
17,5968-VXZLG,1.0,,0.0,0.0,0.0,0.0,0.0,41.081847,-122.700545,5.0,3.0,0.0,0.0,1.0,5.0,0.0,0.0,1.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,,24.4
18,9029-FEGVJ,,,,,,,,33.848733,-117.788357,4.0,3.0,1.0,8.0,72.0,1.0,1.0,1.0,0.0,2.0,20.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,100.0,8342.6
19,4661-NJEUX,1.0,20.0,1.0,0.0,0.0,1.0,2.0,36.841655,-119.797113,4.0,3.0,0.0,0.0,53.0,2.0,1.0,0.0,1.0,3.0,59.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,5953.43
20,6620-JDYNW,,,,,,,,38.460517,-119.7549407277953,3.0,3.0,1.0,9.0,3.0,4.0,1.0,0.0,1.0,1.0,51.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,,203.01
21,7605-BDWDC,1.0,77.0,0.0,1.0,0.0,0.0,0.0,40.923558,-122.059933,1.0,3.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,2.0,20.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,10.0,3044.441077322455
22,5136-GFPMB,1.0,40.0,0.0,0.0,0.0,,0.0,37.800254,-122.436975,5.0,,,,,,,,,,,,,,,,,,,,,,,
23,6261-LHRTG,1.0,70.0,0.0,1.0,1.0,,0.0,,,4.0,3.0,1.0,9.0,2.0,5.0,1.0,0.0,1.0,2.0,24.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,211.63
24,7033-CLAMM,0.0,41.0,,0.0,0.0,0.0,0.0,,,3.0,3.0,0.0,0.0,3.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,132.74
25,6821-BUXUX,1.0,29.0,1.0,0.0,1.0,1.0,3.0,37.410236,-121.320337,3.0,3.0,1.0,6.0,32.0,0.0,1.0,0.0,1.0,2.0,69.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,4196.65
26,4072-IPYLT,1.0,,1.0,,1.0,1.0,,36.19204239161876,-122.303708,4.0,3.0,1.0,3.0,12.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,3044.441077322455
27,4134-BSXLX,0.0,64.0,,0.0,1.0,0.0,0.0,33.982787,-117.057627,2.0,3.0,1.0,1.0,1.0,5.0,1.0,0.0,1.0,2.0,13.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,90.6
28,0895-DQHEW,0.0,38.0,0.0,0.0,,0.0,0.0,38.549185,-121.328386,4.0,3.0,0.0,0.0,60.0,0.0,1.0,0.0,1.0,2.0,21.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,0.0,0.0,6949.65
29,9313-CDOGY,,,,,,,,,,,3.0,0.0,1.0,1.0,5.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,31.45
30,3771-PZOBW,1.0,47.0,0.0,0.0,0.0,0.0,0.0,34.943523,-119.7549407277953,4.0,3.0,0.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,95.64
31,5307-DZCVC,1.0,,,0.0,0.0,0.0,0.0,32.673483,-116.472863,,,,,,,,,,,,,,,,,,,,,,,,
32,1729-VLAZJ,1.0,66.0,0.0,1.0,0.0,0.0,0.0,34.269449,-118.768471,5.0,3.0,0.0,0.0,32.0,1.0,1.0,1.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,1960.54
33,7558-IMLMT,,39.0,0.0,0.0,0.0,0.0,0.0,34.002028,-118.430656,2.0,3.0,1.0,0.0,4.0,0.0,1.0,0.0,1.0,1.0,3.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,415.26
34,3389-KTRXV,0.0,32.0,0.0,,0.0,1.0,3.0,,,3.0,3.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,2.0,57.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,3044.441077322455
35,4800-VHZKI,1.0,32.0,0.0,0.0,1.0,0.0,0.0,36.19204239161876,-118.082935,4.0,3.0,1.0,2.0,17.0,4.0,1.0,0.0,1.0,1.0,11.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1946.55
36,6429-SHBCB,0.0,62.0,0.0,0.0,0.0,,0.0,34.159534,-116.425984,3.0,3.0,0.0,0.0,12.0,0.0,0.0,0.0,1.0,3.0,24.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,702.89
37,2592-YKDIF,0.0,,0.0,0.0,1.0,1.0,2.0,41.505916,-120.152505,5.0,3.0,1.0,10.0,72.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,2481.09
