,Gender,Age,Under 30,Senior Citizen,Married,Dependents,Number of Dependents,Latitude,Longitude,Satisfaction Score,Quarter,Referred a Friend,Number of Referrals,Tenure in Months,Offer,Phone Service,Multiple Lines,Internet Service,Internet Type,Avg Monthly GB Download,Online Security,Online Backup,Device Protection Plan,Premium Tech Support,Streaming TV,Streaming Movies,Streaming Music,Unlimited Data,Contract,Paperless Billing,Payment Method,Total Extra Data Charges,Total Revenue
0,0.0,73.0,0.0,1.0,1.0,0.0,0.0,33.141265,-116.967221,3.0,3.0,1.0,1.0,47.0,0.0,1.0,0.0,1.0,2.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4548.91
1,1.0,64.0,0.0,0.0,0.0,0.0,0.0,34.231318,-117.662032,4.0,3.0,0.0,0.0,50.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,3553.25
2,1.0,64.0,0.0,0.0,0.0,0.0,0.0,32.802959,-117.027095,5.0,3.0,1.0,9.0,52.0,0.0,1.0,1.0,1.0,1.0,85.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,4406.25
3,0.0,35.0,0.0,0.0,1.0,1.0,3.0,32.802959,-117.027095,5.0,3.0,1.0,1.0,11.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,499.41
4,1.0,67.0,0.0,1.0,1.0,0.0,0.0,33.581045,-117.14719,5.0,3.0,1.0,1.0,13.0,0.0,1.0,1.0,1.0,3.0,6.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,3044.441077322455
5,0.0,30.0,0.0,0.0,0.0,0.0,0.0,35.858054,-119.305858,5.0,3.0,1.0,1.0,13.0,0.0,1.0,1.0,1.0,3.0,6.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,3044.441077322455
6,1.0,64.0,0.0,0.0,1.0,0.0,0.0,33.362575,-117.299644,3.0,3.0,1.0,6.0,72.0,0.0,1.0,1.0,1.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,9761.84
7,1.0,64.0,0.0,0.0,1.0,0.0,0.0,33.362575,-117.299644,1.0,3.0,1.0,6.0,72.0,0.0,1.0,1.0,1.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,9761.84
8,1.0,71.0,0.0,1.0,0.0,0.0,0.0,36.19204239161876,-116.593605,4.0,3.0,0.0,0.0,32.0,0.0,0.0,0.0,1.0,1.0,23.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,2743.45
9,1.0,29.0,0.0,0.0,0.0,0.0,0.0,33.929812,-116.76058,1.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,1.0,85.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,106.85
10,1.0,29.0,0.0,0.0,0.0,0.0,0.0,33.782346,-117.635263,1.0,3.0,1.0,1.0,56.0,0.0,1.0,1.0,1.0,2.0,25.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,6841.38
11,1.0,57.0,0.0,0.0,1.0,1.0,3.0,36.768774,-119.762633,5.0,3.0,1.0,8.0,68.0,0.0,1.0,1.0,1.0,1.0,29.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,5841.31
12,0.0,49.0,0.0,0.0,0.0,0.0,0.0,36.19204239161876,-118.067402,3.0,3.0,1.0,8.0,68.0,0.0,1.0,1.0,1.0,1.0,29.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,5841.31
13,0.0,32.0,0.0,0.0,0.0,0.0,0.0,36.19204239161876,-118.067402,5.0,3.0,0.0,0.0,20.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,651.75
14,0.0,32.0,1.0,0.0,0.0,0.0,0.0,36.19204239161876,-118.067402,3.0,3.0,0.0,0.0,66.0,2.0,1.0,0.0,1.0,1.0,20.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,5427.87
15,0.0,32.0,1.0,0.0,0.0,0.0,0.0,35.369553,-120.763864,3.0,3.0,1.0,9.0,1.0,0.0,0.0,0.0,1.0,1.0,14.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,35.0
