,Customer ID,Satisfaction Score,Count,Quarter,Referred a Friend,Number of Referrals,Tenure in Months,Offer,Phone Service,Avg Monthly Long Distance Charges,Multiple Lines,Internet Service,Internet Type,Avg Monthly GB Download,Online Security,Online Backup,Device Protection Plan,Premium Tech Support,Streaming TV,Streaming Movies,Streaming Music,Unlimited Data,Contract,Paperless Billing,Payment Method,Monthly Charge,Total Charges,Total Refunds,Total Extra Data Charges,Total Long Distance Charges,Total Revenue
0,1746-TGTWV,,1,Q3,No,0,1,None,No,0,No,Yes,DSL,8,No,No,,No,No,Yes,No,No,Month-to-Month,Yes,Bank Withdrawal,39.65,,0,20,0,59.65
1,8499-BRXTD,3,1,Q3,Yes,1,8,Offer E,,48.85,Yes,Yes,Fiber Optic,17,No,Yes,No,No,No,No,No,Yes,Month-to-Month,Yes,,80.65,633.3,0,0,390.8,1024.1
2,2041-JIJCI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,5832-EXGTT,2,1,Q3,Yes,1,25,Offer C,,19.76,No,Yes,,12,No,Yes,Yes,,Yes,Yes,,Yes,Month-to-Month,Yes,Bank Withdrawal,98.5,2514.5,,0,494,2995.07
4,8350-NYMVI,2,1,Q3,Yes,1,37,Offer C,Yes,6.33,,Yes,Fiber Optic,,No,,,No,,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,76.5,2868.15,0,0,234.21,3102.36
5,7284-BUYEC,1,1,,No,0,27,Offer C,Yes,3.33,Yes,Yes,Fiber Optic,18,No,No,,No,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,78.05,2135.5,,10,89.91,2235.41
6,3458-IDMFK,2,1,Q3,Yes,1,1,Offer E,Yes,,,Yes,Fiber Optic,30,,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Mailed Check,70.45,70.45,0,0,15.28,85.73
7,3709-OIJEA,,1,Q3,Yes,6,58,Offer B,No,0,,Yes,DSL,24,No,Yes,Yes,No,No,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,45.3,2651.2,40.95,0,0,2610.25
8,5066-GFJMM,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,3006-XIMLN,2,1,Q3,No,0,7,Offer E,,26.95,No,Yes,,18,Yes,No,No,No,No,No,No,No,Month-to-Month,No,Bank Withdrawal,,503.6,11.05,,188.65,681.2
10,6648-INWPS,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,3196-NVXLZ,1,,Q3,No,0,,Offer D,Yes,29.11,No,Yes,Fiber Optic,29,No,Yes,,No,No,No,No,,Month-to-Month,Yes,,,1074.3,,0,436.65,1510.95
12,4450-MDZFX,2,1,Q3,No,0,3,Offer E,No,0,No,Yes,DSL,28,No,No,Yes,No,No,Yes,,,Month-to-Month,Yes,,41.15,,0,0,0,132.2
13,1730-VFMWO,1,1,,,0,13,Offer D,Yes,32.68,Yes,,Cable,11,No,Yes,Yes,,Yes,Yes,No,No,Month-to-Month,Yes,Bank Withdrawal,,1364.3,0,10,424.84,1799.14
14,7037-MTYVW,,1,Q3,No,0,16,,Yes,,No,Yes,Fiber Optic,9,No,No,,Yes,Yes,Yes,Yes,Yes,Month-to-Month,,Bank Withdrawal,94.45,1511.2,0,0,150.88,1662.08
15,6463-HHXJR,2,1,,No,0,8,,Yes,1.78,No,Yes,Fiber Optic,7,No,Yes,No,No,No,No,No,Yes,Month-to-Month,Yes,,74.5,606.55,0,0,14.24,
16,9450-TRJUU,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,6718-BDGHG,3,1,Q3,No,0,4,Offer E,Yes,31.61,Yes,Yes,,2,No,No,No,No,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,95.45,396.1,0,0,126.44,522.54
18,4981-FLTMF,2,1,Q3,Yes,2,32,Offer C,Yes,47.34,Yes,Yes,Fiber Optic,10,No,,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,74.9,2303.35,0,0,1514.88,3818.23
19,3522-CDKHF,2,1,Q3,Yes,1,24,Offer C,Yes,16.1,No,Yes,,12,No,No,Yes,No,Yes,,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,93.15,2231.05,0,0,386.4,2617.45
20,9351-LZYGF,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,8443-WVPSS,1,1,Q3,No,0,21,None,No,,No,Yes,Cable,8,Yes,No,No,No,,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,41.9,,0,0,0,840.1
22,9540-JYROE,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,4615-PIVVU,1,1,Q3,,1,11,None,Yes,29.54,No,No,None,0,No,,No,,No,No,No,,Month-to-Month,No,Mailed Check,19.95,214.75,0,0,324.94,539.69
24,7401-RUBNK,1,1,Q3,Yes,2,55,Offer B,,42.82,Yes,Yes,Fiber Optic,27,No,,Yes,No,No,No,No,No,Month-to-Month,Yes,,85.45,4874.7,0,90,2355.1,7319.8
25,5701-GUXDC,1,,Q3,No,0,3,Offer E,,9.22,Yes,Yes,Fiber Optic,14,,Yes,No,No,,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,81.35,233.7,0,0,27.66,261.36
26,9609-BENEA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,1723-HKXJQ,2,1,Q3,No,0,5,Offer E,No,0,No,,DSL,26,No,Yes,No,No,,No,No,Yes,Month-to-Month,,Bank Withdrawal,28.45,131.05,0,0,0,131.05
28,0479-HMSWA,1,1,Q3,No,0,20,None,Yes,48.73,,Yes,,12,No,Yes,Yes,No,No,Yes,No,,,,Bank Withdrawal,94.1,1782.4,0,,974.6,2837
29,0027-KWYKW,1,,Q3,Yes,4,5,,Yes,45.76,Yes,Yes,Fiber Optic,22,No,No,No,No,No,,No,Yes,Month-to-Month,Yes,Bank Withdrawal,74.35,334.8,0,,228.8,563.6
30,7750-EYXWZ,1,1,Q3,Yes,2,,,Yes,,No,Yes,Cable,25,Yes,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,,1929.35,0,,189.54,2118.89
31,2014-MKGMH,,1,Q3,No,0,4,None,,48.35,Yes,,Cable,24,No,No,Yes,No,Yes,No,,Yes,Month-to-Month,Yes,Bank Withdrawal,89.2,346.2,,0,193.4,539.6
32,3146-MSEGF,,1,Q3,No,0,1,None,Yes,45.81,Yes,Yes,Fiber Optic,21,,,No,No,Yes,No,No,,Month-to-Month,Yes,Bank Withdrawal,85.7,85.7,0,0,45.81,131.51
33,3200-MNQTF,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,7929-DMBCV,2,1,Q3,Yes,3,49,Offer B,Yes,,Yes,Yes,Fiber Optic,14,No,Yes,No,No,No,Yes,No,Yes,Month-to-Month,No,Credit Card,90.05,4547.25,0,0,,
35,3336-JORSO,2,1,Q3,Yes,1,43,Offer B,Yes,14.52,Yes,Yes,Fiber Optic,,No,,Yes,Yes,,Yes,No,,Month-to-Month,Yes,Bank Withdrawal,110.75,4687.9,0,0,624.36,5312.26
36,3580-REOAC,1,1,Q3,No,0,56,Offer B,Yes,48.8,Yes,Yes,Fiber Optic,12,Yes,No,Yes,No,Yes,Yes,,Yes,One Year,Yes,Bank Withdrawal,104.55,5794.65,,0,,8527.45
37,5614-DNZCE,1,1,Q3,Yes,7,20,None,Yes,,Yes,Yes,Fiber Optic,10,No,No,No,,Yes,Yes,,Yes,Month-to-Month,Yes,Bank Withdrawal,94.55,1899.65,0,0,,2005.85
38,1845-CSBRZ,2,1,Q3,No,0,2,None,Yes,,Yes,Yes,Fiber Optic,19,,Yes,No,No,No,Yes,,,Month-to-Month,No,Bank Withdrawal,,161.5,0,0,,256.44
39,4334-HOWRP,,1,Q3,No,0,8,None,Yes,27.95,No,No,None,0,No,No,,No,No,No,No,No,Month-to-Month,No,Bank Withdrawal,19.65,,0,0,,387.9
40,2550-AEVRU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,4906-ZHGPK,2,1,Q3,No,0,,None,,43.99,No,Yes,DSL,27,Yes,No,,No,,No,No,Yes,,Yes,Bank Withdrawal,49.25,91.1,0,0,87.98,179.08
42,7207-RMRDB,3,1,Q3,Yes,1,33,None,,27.78,Yes,Yes,,8,No,No,No,No,,,No,Yes,Month-to-Month,Yes,Bank Withdrawal,94.5,,0,0,,4022.29
43,1591-XWLGB,1,1,,No,0,30,,Yes,45.88,Yes,,Fiber Optic,19,Yes,Yes,Yes,No,No,No,No,Yes,Month-to-Month,No,Credit Card,91.7,2758.15,,0,1376.4,4134.55
44,2424-WVHPL,3,1,Q3,No,0,20,None,Yes,44.44,Yes,,Fiber Optic,13,No,No,Yes,No,Yes,Yes,No,No,Month-to-Month,Yes,Bank Withdrawal,98.55,1842.8,0,120,,2851.6
45,4342-HFXWS,1,1,Q3,No,,,None,Yes,2.37,Yes,Yes,,20,Yes,Yes,,No,Yes,Yes,,Yes,One Year,Yes,Bank Withdrawal,110,4874.8,0,0,109.02,4983.82
