,Customer ID,Gender,Age,Under 30,Senior Citizen,Married,Dependents,Number of Dependents
0,1746-TGTWV,1.0,78.0,0.0,1.0,0.0,0.0,0.0
1,8499-BRXTD,0.0,74.0,0.0,1.0,1.0,1.0,1.0
2,2041-JIJCI,1.0,71.0,0.0,1.0,0.0,1.0,3.0
3,5832-EXGTT,0.0,78.0,0.0,1.0,1.0,1.0,1.0
4,8350-NYMVI,1.0,80.0,0.0,1.0,1.0,1.0,1.0
5,7284-BUYEC,0.0,72.0,0.0,1.0,1.0,1.0,0.0
6,3458-IDMFK,0.0,76.0,0.0,1.0,1.0,1.0,0.0
7,3709-OIJEA,1.0,66.0,0.0,1.0,1.0,1.0,0.0
8,5066-GFJMM,1.0,70.0,0.0,1.0,0.0,1.0,2.0
9,6648-INWPS,0.0,78.0,0.0,1.0,1.0,1.0,1.0
10,3196-NVXLZ,1.0,65.0,0.0,1.0,0.0,0.0,0.0
11,5939-SXWHM,1.0,77.0,0.0,1.0,1.0,1.0,0.0
12,1730-VFMWO,1.0,68.0,0.0,1.0,0.0,0.0,0.0
13,7037-MTYVW,0.0,68.0,0.0,1.0,0.0,0.0,0.0
14,6463-HHXJR,1.0,66.0,0.0,1.0,1.0,0.0,0.0
15,4981-FLTMF,1.0,72.40773480662983,0.0,1.0,1.0,0.0,0.0
16,3522-CDKHF,1.0,77.0,0.0,1.0,1.0,0.0,0.0
17,9351-LZYGF,0.0,70.0,0.0,1.0,0.0,0.0,0.0
18,8999-XXGNS,0.0,74.0,0.0,1.0,0.0,0.0,0.0
19,8443-WVPSS,0.0,77.0,0.0,1.0,0.0,0.0,0.0
20,9540-JYROE,1.0,72.40773480662983,0.0,1.0,1.0,0.0,0.0
21,4615-PIVVU,1.0,79.0,0.0,1.0,1.0,0.0,0.0
22,7401-RUBNK,0.0,66.0,0.0,1.0,1.0,1.0,0.0
23,5701-GUXDC,1.0,77.0,0.0,1.0,0.0,0.0,0.0
