,Customer ID,Gender,Age,Under_30,Senior_Citizen,Married,Dependents,Number_of_Dependents,Latitude,Longitude,Satisfaction Score,Quarter,Referred a Friend,Number of Referrals,Tenure in Months,Offer,Phone Service,Multiple Lines,Internet Service,Internet Type,Avg Monthly GB Download,Online Security,Online Backup,Device Protection Plan,Premium Tech Support,Streaming TV,Streaming Movies,Streaming Music,Unlimited Data,Contract,Paperless Billing,Payment Method,Total Extra Data Charges,Total Revenue,Churn Category
0,0650-BWOZN,1.0,37.0,0.0,1.0,0.0,0.0,0.0,34.903052,-118.411251,1.0,3.0,0.0,0.0,35.0,0.0,1.0,0.0,1.0,2.0,16.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,3923.45,1.0
1,0562-FGDCR,0.0,54.0,0.0,0.0,0.0,0.0,0.0,34.903052,-118.411251,1.0,3.0,0.0,0.0,1.0,5.0,1.0,1.0,1.0,3.0,29.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,35.9,1.0
2,6688-UZPWD,1.0,46.0,1.0,1.0,0.0,1.0,0.0,33.721917,-118.043237,3.0,3.0,1.0,4.0,35.0,3.0,1.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2182.45,0.0
3,2905-KFQUV,1.0,23.0,1.0,1.0,0.0,0.0,0.0,36.19204239161876,-122.000887,3.0,3.0,0.0,0.0,7.0,5.0,1.0,0.0,1.0,2.0,71.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,10.0,705.6099999999999,1.0
4,9720-JJJOR,0.0,41.0,0.0,0.0,1.0,0.0,0.0,39.672813,-120.456699,3.0,3.0,1.0,8.0,68.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,10.0,3075.66,0.0
5,5236-PERKL,1.0,22.0,1.0,1.0,0.0,0.0,0.0,39.672813,-120.456699,3.0,3.0,0.0,0.0,2.0,5.0,1.0,0.0,1.0,3.0,27.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,262.36,1.0
6,0394-YONDK,1.0,22.0,1.0,1.0,0.0,0.0,0.0,34.018354,-117.85492,3.0,3.0,0.0,0.0,1.0,5.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.13,1.0
7,0396-HUJBP,0.0,37.0,0.0,0.0,1.0,0.0,0.0,34.018354,-117.85492,3.0,3.0,1.0,2.0,9.0,0.0,1.0,0.0,1.0,3.0,20.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,974.81,1.0
8,8200-LGKSR,1.0,33.0,0.0,1.0,0.0,0.0,0.0,33.958149,-118.308441,3.0,3.0,0.0,0.0,36.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,995.0,0.0
9,3279-DYZQM,0.0,32.0,0.0,0.0,0.0,1.0,0.0,33.958149,-118.308441,3.0,3.0,0.0,0.0,36.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,2.0,1.0,1.0,0.0,995.0,0.0
10,3996-ZNWYK,0.0,32.0,0.0,0.0,0.0,1.0,0.0,36.19204239161876,-118.421314,3.0,3.0,1.0,10.0,16.0,0.0,1.0,0.0,1.0,3.0,30.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,1436.77,0.0
11,0684-AOSIH,0.0,21.0,1.0,0.0,1.0,1.0,2.0,37.424342,-122.165641,3.0,3.0,1.0,1.0,44.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,963.73,0.0
12,9500-LTVBP,0.0,46.0,1.0,0.0,1.0,0.0,2.0,37.573633,-122.455167,3.0,3.0,1.0,3.0,32.0,0.0,1.0,1.0,1.0,1.0,17.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1177.83,0.0
13,5229-PRWKT,0.0,49.0,0.0,0.0,1.0,0.0,0.0,37.540582,-119.7549407277953,5.0,3.0,1.0,3.0,32.0,0.0,1.0,1.0,1.0,1.0,17.0,1.0,0.0,1.0,0.0,,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1177.83,0.0
14,1679-JRFBR,1.0,40.0,0.0,1.0,1.0,0.0,0.0,38.636102,-120.522149,3.0,3.0,1.0,10.0,72.0,1.0,1.0,1.0,1.0,3.0,20.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,9302.83,0.0
15,1764-VUUMT,0.0,46.0,0.0,0.0,0.0,1.0,3.0,34.044271,-119.7549407277953,1.0,3.0,1.0,10.0,72.0,1.0,1.0,1.0,1.0,3.0,20.0,1.0,1.0,1.0,1.0,,0.0,0.0,1.0,2.0,0.0,0.0,0.0,9302.83,2.0
16,7531-GQHME,0.0,47.0,0.0,0.0,1.0,1.0,3.0,34.613476,-118.256358,4.0,3.0,1.0,10.0,72.0,1.0,1.0,1.0,1.0,3.0,20.0,1.0,1.0,1.0,1.0,,0.0,0.0,1.0,2.0,0.0,0.0,0.0,9302.83,0.0
17,4377-VDHYI,1.0,50.0,0.0,1.0,1.0,1.0,3.0,37.505768,-121.962472,4.0,3.0,1.0,5.0,35.0,3.0,1.0,0.0,1.0,2.0,57.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,3219.15,0.0
18,5533-NHFRF,0.0,46.0,0.0,0.0,0.0,0.0,0.0,37.980057,-119.7549407277953,4.0,3.0,0.0,0.0,3.0,0.0,1.0,1.0,1.0,2.0,24.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,287.26,0.0
19,7516-GMHUV,0.0,46.0,0.0,0.0,0.0,0.0,0.0,40.936285,-121.572692,4.0,3.0,0.0,0.0,3.0,0.0,1.0,1.0,1.0,2.0,24.0,1.0,0.0,0.0,0.0,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,287.26,0.0
20,5197-PYEPU,0.0,64.0,0.0,0.0,1.0,0.0,0.0,33.507255,-119.7549407277953,2.0,3.0,1.0,0.0,40.0,2.0,1.0,1.0,1.0,2.0,19.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,3384.25,1.0
21,6743-HHQPF,1.0,46.0,1.0,1.0,1.0,0.0,0.0,38.803731,-121.043799,3.0,3.0,1.0,0.0,40.0,2.0,1.0,1.0,1.0,2.0,19.0,0.0,0.0,0.0,1.0,,0.0,0.0,1.0,0.0,1.0,0.0,0.0,3384.25,1.0
22,2120-SMPEX,0.0,39.0,0.0,0.0,1.0,0.0,0.0,33.723579,-118.005441,3.0,3.0,1.0,0.0,40.0,2.0,1.0,1.0,1.0,2.0,19.0,0.0,0.0,0.0,1.0,,0.0,0.0,1.0,0.0,1.0,0.0,0.0,3384.25,2.0
